,Index,Name,X,Y,Z,Altitude,Depth,formation
0,GD0001,WBVAltenhagen12/4,32428405.75,5784686.57,131.8,132.0,59.0,Quaternary
1,GD0001,WBVAltenhagen12/4,32428405.75,5784686.57,119.2,132.0,59.0,MittlererBuntsandsteinGP
2,GD0001,WBVAltenhagen12/4,32428405.75,5784686.57,86.8,132.0,59.0,Zechstein
3,GD0001,WBVAltenhagen12/4,32428405.75,5784686.57,84.0,132.0,59.0,UntererKeuperGP
4,GD0001,WBVAltenhagen12/4,32428405.75,5784686.57,73.0,132.0,59.0,UnterJura
5,GD0002,Lengerich24,32429575.25,5782307.49,105.5,110.0,99.0,Quaternary
6,GD0002,Lengerich24,32429575.25,5782307.49,53.0,110.0,99.0,OberJura
7,GD0002,Lengerich24,32429575.25,5782307.49,11.0,110.0,99.0,MittelJura
8,GD0003,WBVAltenhagen12/3,32428280.8,5784631.59,109.5,118.0,90.0,Quaternary
9,GD0003,WBVAltenhagen12/3,32428280.8,5784631.59,65.0,118.0,90.0,MittelJura
10,GD0003,WBVAltenhagen12/3,32428280.8,5784631.59,49.0,118.0,90.0,UntererKeuperGP
11,GD0003,WBVAltenhagen12/3,32428280.8,5784631.59,28.0,118.0,90.0,UnterJura
12,GD0004,Lengerich22,32429475.28,5782167.55,115.0,120.0,104.0,Quaternary
13,GD0004,Lengerich22,32429475.28,5782167.55,16.0,120.0,104.0,OberJura
14,GD0005,WBVAltenhagen12/5,32428335.78,5784621.59,114.22,120.22,80.0,Quaternary
15,GD0005,WBVAltenhagen12/5,32428335.78,5784621.59,104.22,120.22,80.0,MittlererBuntsandsteinGP
16,GD0005,WBVAltenhagen12/5,32428335.78,5784621.59,82.22,120.22,80.0,Zechstein
17,GD0005,WBVAltenhagen12/5,32428335.78,5784621.59,66.22,120.22,80.0,UntererKeuperGP
18,GD0005,WBVAltenhagen12/5,32428335.78,5784621.59,40.22,120.22,80.0,UnterJura
19,GD0006,WBVAltenhagenBr.13,32428340.77,5784646.58,105.0,121.0,58.0,UntererKeuperGP
20,GD0006,WBVAltenhagenBr.13,32428340.77,5784646.58,77.0,121.0,58.0,Zechstein
21,GD0006,WBVAltenhagenBr.13,32428340.77,5784646.58,63.0,121.0,58.0,MittelJura
22,GD0007,WBVAltenhagen12/1,32428335.78,5784551.62,107.0,109.0,21.0,Quaternary
23,GD0007,WBVAltenhagen12/1,32428335.78,5784551.62,88.0,109.0,21.0,MittelJura
24,GD0008,Nr.82AltenhagenVB6=Br.III,32428855.57,5784376.68,104.9,108.0,125.0,Quaternary
25,GD0008,Nr.82AltenhagenVB6=Br.III,32428855.57,5784376.68,-17.0,108.0,125.0,UnterJura
26,GD0009,WBVAltenhagenBr.12,32428415.75,5784696.56,131.8,132.0,53.0,Quaternary
27,GD0009,WBVAltenhagenBr.12,32428415.75,5784696.56,119.0,132.0,53.0,MittlererBuntsandsteinGP
28,GD0009,WBVAltenhagenBr.12,32428415.75,5784696.56,86.8,132.0,53.0,Zechstein
29,GD0009,WBVAltenhagenBr.12,32428415.75,5784696.56,84.0,132.0,53.0,UntererKeuperGP
30,GD0009,WBVAltenhagenBr.12,32428415.75,5784696.56,79.0,132.0,53.0,UnterJura
31,GD0010,"Kartierbohrg.GDNRW,Emsniederung4013/3042",32425907.25,5756928.64,44.4,68.5,25.0,Quaternary
32,GD0010,"Kartierbohrg.GDNRW,Emsniederung4013/3042",32425907.25,5756928.64,43.5,68.5,25.0,UnterCampanium
33,GD0011,"Kartierbohrg.GDNRW,Emsniederung4013/3043",32425840.28,5756836.68,46.9,71.0,25.0,Quaternary
34,GD0011,"Kartierbohrg.GDNRW,Emsniederung4013/3043",32425840.28,5756836.68,46.0,71.0,25.0,UnterCampanium
35,GD0012,B7WASSERWIRTSCH.STELLE,32421598.38,5780728.24,41.95,62.0,22.05,Quaternary
36,GD0012,B7WASSERWIRTSCH.STELLE,32421598.38,5780728.24,39.95,62.0,22.05,Oberkreide
37,GD0013,AverkampMünster,32409822.55,5754768.72,46.8,53.5,30.0,Quaternary
38,GD0013,AverkampMünster,32409822.55,5754768.72,23.5,53.5,30.0,UnterCampanium
39,GD0014,"Kartierbohrg.GDNRW,Münster3911/3036",32405171.58,5764839.79,9.5,51.1,42.3,Quaternary
40,GD0014,"Kartierbohrg.GDNRW,Münster3911/3036",32405171.58,5764839.79,8.800000000000004,51.1,42.3,UnterCampanium
41,GD0015,TestsondenbohrungStudentenwerkMünster,32404479.69,5756653.05,55.68,58.18,132.0,Quaternary
42,GD0015,TestsondenbohrungStudentenwerkMünster,32404479.69,5756653.05,-73.82,58.18,132.0,UnterCampanium
43,GD0016,"Kartierbohrg.GDNRW,MünsterRK3911/1001",32408323.42,5768767.18,22.35,45.0,23.0,Quaternary
44,GD0016,"Kartierbohrg.GDNRW,MünsterRK3911/1001",32408323.42,5768767.18,22.0,45.0,23.0,UnterCampanium
45,GD0017,"Kartierbohrg.GDNRW,MünsterRK3911/1002",32403179.44,5768396.4,16.5,49.3,33.0,Quaternary
46,GD0017,"Kartierbohrg.GDNRW,MünsterRK3911/1002",32403179.44,5768396.4,16.299999999999997,49.3,33.0,UnterCampanium
47,GD0018,"Kartierbohrg.GDNRW,MünsterRK3912/1001",32413220.37,5762853.46,25.199999999999996,49.3,25.0,Quaternary
48,GD0018,"Kartierbohrg.GDNRW,MünsterRK3912/1001",32413220.37,5762853.46,24.299999999999997,49.3,25.0,UnterCampanium
49,GD0019,"Kartierbrg.GDNRW,EmsniederungRK4012/1002",32415119.59,5761429.0,27.8,49.0,22.0,Quaternary
50,GD0019,"Kartierbrg.GDNRW,EmsniederungRK4012/1002",32415119.59,5761429.0,27.0,49.0,22.0,Oberkreide
52,GD0020,ErsatzschleusenMünster,32408119.32,5759618.81,53.7,57.2,21.55,Quaternary
53,GD0020,ErsatzschleusenMünster,32408119.32,5759618.81,35.650000000000006,57.2,21.55,UnterCampanium
54,GD0021,MESSSTELLE105,32404976.51,5757722.62,44.0,58.3,20.2,Quaternary
55,GD0021,MESSSTELLE105,32404976.51,5757722.62,43.3,58.3,20.2,UnterCampanium
57,GD0022,"Brückenbauw.""KappenbergerDamm""Wanne-Bremen",32404127.78,5754019.1,44.92,62.42,20.5,Quaternary
58,GD0022,"Brückenbauw.""KappenbergerDamm""Wanne-Bremen",32404127.78,5754019.1,41.92,62.42,20.5,UnterCampanium
59,GD0023,Diplomkartierung/ArbeitHagedorn,32403130.29,5760431.57,66.3,67.5,35.0,Quaternary
60,GD0023,Diplomkartierung/ArbeitHagedorn,32403130.29,5760431.57,32.5,67.5,35.0,UnterCampanium
61,GD0024,Voßgasse/Neubrückenstrasse,32405764.21,5757942.52,37.55,50.85,20.0,Quaternary
62,GD0024,Voßgasse/Neubrückenstrasse,32405764.21,5757942.52,30.85,50.85,20.0,UnterCampanium
63,GD0025,Voßgasse/Neubrückenstrasse,32405774.21,5757957.51,43.92999999999999,56.23,20.0,Quaternary
64,GD0025,Voßgasse/Neubrückenstrasse,32405774.21,5757957.51,36.23,56.23,20.0,UnterCampanium
65,GD0026,Voßgasse/Neubrückenstrasse,32405797.2,5757976.5,44.75,56.05,20.0,Quaternary
66,GD0026,Voßgasse/Neubrückenstrasse,32405797.2,5757976.5,36.05,56.05,20.0,UnterCampanium
67,GD0027,"Kartierbohrg.GDNRW,Emsniederung4013/3026",32424283.92,5758504.04,31.3,51.0,20.5,Quaternary
68,GD0027,"Kartierbohrg.GDNRW,Emsniederung4013/3026",32424283.92,5758504.04,30.5,51.0,20.5,Oberkreide
69,GD0028,"Kartierbohrg.GDNRW,Emsniederung4013/3034",32425992.25,5758699.94,32.5,56.5,25.0,Quaternary
70,GD0028,"Kartierbohrg.GDNRW,Emsniederung4013/3034",32425992.25,5758699.94,31.5,56.5,25.0,Oberkreide
71,GD0029,ZOOLOGISCHESINSTITUT,32404854.56,5757587.67,45.0,59.0,30.0,Quaternary
72,GD0029,ZOOLOGISCHESINSTITUT,32404854.56,5757587.67,29.0,59.0,30.0,Oberkreide
73,GD0030,MESSSTELLE455,32404485.76,5760332.59,38.28,59.78,22.0,Quaternary
74,GD0030,MESSSTELLE455,32404485.76,5760332.59,37.78,59.78,22.0,Oberkreide
75,GD0031,BR.1VORSEHUNGSKLOSTER,32409792.69,5761386.09,33.5,53.0,40.0,Quaternary
76,GD0031,BR.1VORSEHUNGSKLOSTER,32409792.69,5761386.09,13.0,53.0,40.0,UnterCampanium
77,GD0032,MESSSTELLE352,32406058.98,5752212.79,33.2,62.0,29.0,Quaternary
78,GD0032,MESSSTELLE352,32406058.98,5752212.79,33.0,62.0,29.0,Oberkreide
79,GD0033,B.BAHNH.BOESENS.KM54.82,32395965.01,5751792.73,59.0,63.0,20.0,Quaternary
80,GD0033,B.BAHNH.BOESENS.KM54.82,32395965.01,5751792.73,43.0,63.0,20.0,UnterCampanium
81,GD0034,KBBKartierbohrungGLANW,32420938.36,5765154.44,23.5,54.5,32.5,Quaternary
82,GD0034,KBBKartierbohrungGLANW,32420938.36,5765154.44,22.0,54.5,32.5,UnterCampanium
83,GD0035,BRIWWOstbevern,32421188.26,5765164.43,35.699999999999996,52.8,34.6,Quaternary
84,GD0035,BRIWWOstbevern,32421188.26,5765164.43,18.199999999999996,52.8,34.6,Oberkreide
85,GD0036,KBBKartierbohrungGLANW,32422077.94,5766563.86,34.5,55.0,21.5,Quaternary
86,GD0036,KBBKartierbohrungGLANW,32422077.94,5766563.86,33.5,55.0,21.5,UnterCampanium
87,GD0037,BI-XIIINEUB.JURIST.FAKULT,32405234.41,5757687.63,43.3,56.0,30.8,Quaternary
88,GD0037,BI-XIIINEUB.JURIST.FAKULT,32405234.41,5757687.63,25.2,56.0,30.8,Oberkreide
89,GD0038,TanklagerEverswinkel,32425136.48,5752289.5,55.4,58.0,96.0,Quaternary
90,GD0038,TanklagerEverswinkel,32425136.48,5752289.5,-38.0,58.0,96.0,Oberkreide
91,GD0039,MESSSTELLE462,32405717.15,5753719.19,44.31,69.31,25.5,Quaternary
92,GD0039,MESSSTELLE462,32405717.15,5753719.19,43.81,69.31,25.5,Oberkreide
93,GD0040,DatenbankStadtwerkeMünster,32405890.07,5753327.35,47.83,68.83,21.4,Quaternary
94,GD0040,DatenbankStadtwerkeMünster,32405890.07,5753327.35,47.43,68.83,21.4,UnterCampanium
95,GD0041,Brg.A17AusbauBundesstr.51Umgehungsstr.,32405814.13,5754938.71,40.8,62.9,22.1,Quaternary
96,GD0042,ENTNAHMEBR.WASSERVER.TEL.,32416250.14,5761455.97,31.0,51.0,21.0,Quaternary
97,GD0042,ENTNAHMEBR.WASSERVER.TEL.,32416250.14,5761455.97,30.0,51.0,21.0,Oberkreide
98,GD0043,WWTelgteVK10,32416540.04,5761835.82,27.75,50.15,23.5,Quaternary
99,GD0043,WWTelgteVK10,32416540.04,5761835.82,26.65,50.15,23.5,Oberkreide
